experiment_uid,material,model_uid,seed,fold,avg_rel_err,95-perc_rel_err,99-perc_rel_err,max_rel_err,start_date,end_date
fd0ea,E,3f89e5e4,2,1,0.025709508665832215,0.0801084282808907,0.1586552695590566,374822.31431557983,2023-12-01 17:00:34,2023-12-01 20:42:14
fd0ea,E,26d6cb7e,2,2,0.025709508665832215,0.0801084282808907,0.1586552695590566,374822.31431557983,2023-12-01 17:00:34,2023-12-01 20:42:14
fd0ea,E,66598aa6,2,3,0.025709508665832215,0.0801084282808907,0.1586552695590566,374822.31431557983,2023-12-01 17:00:34,2023-12-01 20:42:14
cdb55,A,5be65f53,0,0,0.05079233936967448,0.2672568053965051,0.330717875988736,1221489.1920683002,2023-12-04 15:11:47,2023-12-08 05:51:15
cdb55,A,bf077c24,0,1,0.05079233936967448,0.2672568053965051,0.330717875988736,1221489.1920683002,2023-12-04 15:11:47,2023-12-08 05:51:15
cdb55,A,0e7de762,0,2,0.05079233936967448,0.2672568053965051,0.330717875988736,1221489.1920683002,2023-12-04 15:11:47,2023-12-08 05:51:15
cdb55,A,d9062fad,0,3,0.05079233936967448,0.2672568053965051,0.330717875988736,1221489.1920683002,2023-12-04 15:11:47,2023-12-08 05:51:15
cdb55,A,be9cbec2,0,4,0.05079233936967448,0.2672568053965051,0.330717875988736,1221489.1920683002,2023-12-04 15:11:47,2023-12-08 05:51:15
cdb55,A,08702049,0,5,0.05079233936967448,0.2672568053965051,0.330717875988736,1221489.1920683002,2023-12-04 15:11:47,2023-12-08 05:51:15
cdb55,A,5e015fb6,1,0,0.05514506430194957,0.2960817091526885,0.34898543878524074,1192311.0518048,2023-12-04 17:35:56,2023-12-08 05:51:15
cdb55,A,acb7e151,1,1,0.05514506430194957,0.2960817091526885,0.34898543878524074,1192311.0518048,2023-12-04 17:35:56,2023-12-08 05:51:15
cdb55,A,45ccc20d,1,2,0.05514506430194957,0.2960817091526885,0.34898543878524074,1192311.0518048,2023-12-04 17:35:56,2023-12-08 05:51:15
cdb55,A,67745f12,1,3,0.05514506430194957,0.2960817091526885,0.34898543878524074,1192311.0518048,2023-12-04 17:35:56,2023-12-08 05:51:15
cdb55,A,2b10a6ed,1,4,0.05514506430194957,0.2960817091526885,0.34898543878524074,1192311.0518048,2023-12-04 17:35:56,2023-12-08 05:51:15
cdb55,A,4678d38f,1,5,0.05514506430194957,0.2960817091526885,0.34898543878524074,1192311.0518048,2023-12-04 17:35:56,2023-12-08 05:51:15
cdb55,A,4e285859,2,0,0.05943276205964681,0.3251495293960588,0.38391101565547353,1361620.1920683002,2023-12-04 20:00:21,2023-12-08 05:51:15
cdb55,A,226a4d8c,2,1,0.05943276205964681,0.3251495293960588,0.38391101565547353,1361620.1920683002,2023-12-04 20:00:21,2023-12-08 05:51:15
cdb55,A,427c67f0,2,2,0.05943276205964681,0.3251495293960588,0.38391101565547353,1361620.1920683002,2023-12-04 20:00:21,2023-12-08 05:51:15
cdb55,A,7c075979,2,3,0.05943276205964681,0.3251495293960588,0.38391101565547353,1361620.1920683002,2023-12-04 20:00:21,2023-12-08 05:51:15
cdb55,A,7ad032e5,2,4,0.05943276205964681,0.3251495293960588,0.38391101565547353,1361620.1920683002,2023-12-04 20:00:21,2023-12-08 05:51:15
cdb55,A,a7a8885d,2,5,0.05943276205964681,0.3251495293960588,0.38391101565547353,1361620.1920683002,2023-12-04 20:00:21,2023-12-08 05:51:15
cdb55,A,92d73447,3,0,0.057015768098029246,0.2826317504544969,0.34323258632792736,1259544.81876685,2023-12-04 22:25:30,2023-12-08 05:51:15
cdb55,A,2d40a29a,3,1,0.057015768098029246,0.2826317504544969,0.34323258632792736,1259544.81876685,2023-12-04 22:25:30,2023-12-08 05:51:15
cdb55,A,1a8b47b8,3,2,0.057015768098029246,0.2826317504544969,0.34323258632792736,1259544.81876685,2023-12-04 22:25:30,2023-12-08 05:51:15
